t / s;I / A
3481703517.173651;0.003000
3481703517.189652;0.003000
3481703517.199653;0.002000
3481703517.208653;0.000000
3481703517.216654;0.002000
3481703517.226655;0.002000
3481703517.235655;0.000000
3481703517.244656;0.004000
3481703517.255656;0.004000
3481703517.264657;0.002000
3481703517.273657;0.003000
3481703517.283658;0.000000
3481703517.292658;0.000000
3481703517.302659;0.000000
3481703517.312659;0.001000
3481703517.323660;0.003000
3481703517.334661;0.004000
3481703517.344661;0.004000
3481703517.353662;0.004000
3481703517.363662;0.004000
3481703517.372663;0.000000
3481703517.385664;0.001000
3481703517.394664;0.000000
3481703517.403665;0.005000
3481703517.412665;0.002000
3481703517.422666;0.001000
3481703517.433666;0.006000
3481703517.443667;0.003000
3481703517.452667;0.000000
3481703517.465668;0.000000
3481703517.475668;0.001000
3481703517.484669;0.000000
3481703517.493670;0.001000
3481703517.503670;0.002000
3481703517.512671;0.003000
3481703517.521671;0.000000
3481703517.535672;0.002000
3481703517.544672;0.003000
3481703517.553673;0.002000
3481703517.563673;0.004000
3481703517.572674;0.002000
3481703517.581675;0.001000
3481703517.595675;0.005000
3481703517.604676;0.000000
3481703517.614676;0.001000
3481703517.623677;0.001000
3481703517.632678;0.000000
3481703517.642678;0.004000
3481703517.652679;0.004000
3481703517.661679;0.005000
3481703517.675680;0.004000
3481703517.685681;0.001000
3481703517.695681;0.001000
3481703517.705682;0.000000
3481703517.714682;0.002000
3481703517.723683;0.004000
3481703517.733684;0.003000
3481703517.743684;0.005000
3481703517.752685;0.004000
3481703517.768685;0.001000
3481703517.777686;0.000000
3481703517.786686;0.000000
3481703517.795687;0.002000
3481703517.805687;0.001000
3481703517.814688;0.000000
3481703517.823689;0.004000
3481703517.832689;0.006000
3481703517.841690;0.000000
3481703517.856690;0.000000
3481703517.862691;0.002000
3481703517.871691;0.000000
3481703517.882692;0.003000
3481703517.892693;0.001000
3481703517.901693;0.001000
3481703517.914694;0.007000
3481703517.923694;0.002000
3481703517.932695;0.001000
3481703517.941695;0.001000
3481703517.954696;0.001000
3481703517.963696;0.001000
3481703517.972697;0.001000
3481703517.982697;0.001000
3481703517.993698;0.005000
3481703518.003699;0.000000
3481703518.015699;0.001000
3481703518.021700;0.002000
3481703518.031701;0.004000
3481703518.041701;0.005000
3481703518.052701;0.003000
3481703518.061702;0.000000
3481703518.072703;0.001000
3481703518.083704;0.001000
3481703518.094704;0.001000
3481703518.103704;0.000000
3481703518.114705;0.001000
3481703518.125706;0.003000
3481703518.135706;0.003000
3481703518.144707;0.001000
3481703518.154707;0.007000
3481703518.163708;0.001000
3481703518.172709;0.000000
3481703518.181709;0.003000
3481703518.191710;0.000000
3481703518.201710;0.003000
3481703518.211711;0.005000
3481703518.225711;0.000000
3481703518.235712;0.000000
3481703518.244713;0.004000
3481703518.253713;0.000000
3481703518.262714;0.000000
3481703518.271714;0.000000
3481703518.281715;0.002000
3481703518.291715;0.004000
3481703518.304716;0.002000
3481703518.314717;0.004000
3481703518.323717;0.002000
3481703518.332718;0.000000
3481703518.342718;0.001000
3481703518.353719;0.003000
3481703518.362720;0.002000
3481703518.375720;0.005000
3481703518.384721;0.003000
3481703518.393721;0.004000
3481703518.402722;0.000000
3481703518.411722;0.002000
3481703518.421723;0.000000
3481703518.438724;0.000000
3481703518.447724;0.003000
3481703518.456725;0.004000
3481703518.465725;0.000000
3481703518.473726;0.003000
3481703518.484726;0.000000
3481703518.493727;0.000000
3481703518.503727;0.000000
3481703518.513728;0.001000
3481703518.524729;0.002000
3481703518.533729;0.004000
3481703518.542730;0.001000
3481703518.551730;0.006000
3481703518.561731;0.000000
3481703518.575732;0.001000
3481703518.580732;0.004000
3481703518.595733;0.004000
3481703518.600733;0.005000
3481703518.610734;0.001000
3481703518.624734;0.000000
3481703518.633735;0.004000
3481703518.644735;0.001000
3481703518.653736;0.001000
3481703518.662736;0.001000
3481703518.671737;0.002000
3481703518.680737;0.004000
3481703518.693738;0.003000
3481703518.702739;0.003000
3481703518.711739;0.001000
3481703518.720740;0.001000
3481703518.733741;0.003000
3481703518.742741;0.001000
3481703518.751741;0.001000
3481703518.760742;0.003000
3481703518.770743;0.005000
3481703518.783743;0.001000
3481703518.792744;0.005000
3481703518.801744;0.000000
3481703518.810745;0.002000
3481703518.820745;0.001000
3481703518.833746;0.000000
3481703518.843747;0.003000
3481703518.852747;0.002000
3481703518.861748;0.002000
3481703518.871748;0.005000
3481703518.880749;0.000000
3481703518.893750;0.000000
3481703518.902750;0.003000
3481703518.911751;0.000000
3481703518.920751;0.004000
3481703518.933752;0.003000
3481703518.942753;0.000000
3481703518.952753;0.000000
3481703518.961753;0.005000
3481703518.970754;0.000000
3481703518.983755;0.001000
3481703518.991755;0.001000
3481703519.000756;0.002000
3481703519.015757;0.005000
3481703519.025757;0.004000
3481703519.034758;0.002000
3481703519.043758;0.003000
3481703519.052759;0.000000
3481703519.061759;0.000000
3481703519.070760;0.000000
3481703519.080760;0.001000
3481703519.093761;0.004000
3481703519.102762;0.005000
3481703519.111762;0.002000
3481703519.120763;0.005000
3481703519.133763;0.001000
3481703519.143764;0.001000
3481703519.152765;0.002000
3481703519.162765;0.001000
3481703519.171766;0.005000
3481703519.180766;0.003000
3481703519.194767;0.003000
3481703519.203767;0.006000
3481703519.212768;0.000000
3481703519.222769;0.000000
3481703519.231769;0.000000
3481703519.240769;0.002000
3481703519.250770;0.006000
3481703519.263771;0.003000
3481703519.272771;0.003000
3481703519.281772;0.004000
3481703519.291772;0.000000
3481703519.300773;0.001000
3481703519.310773;0.001000
3481703519.324774;0.004000
3481703519.333775;0.001000
3481703519.342775;0.002000
3481703519.351776;0.001000
3481703519.360776;0.006000
3481703519.374777;0.003000
3481703519.383778;0.002000
3481703519.392778;0.002000
3481703519.403779;0.003000
3481703519.414780;0.003000
3481703519.420780;0.004000
3481703519.434781;0.001000
3481703519.443781;0.004000
3481703519.454782;0.000000
3481703519.463782;0.002000
3481703519.472783;0.000000
3481703519.481783;0.002000
3481703519.491784;0.006000
3481703519.500784;0.004000
3481703519.513785;0.001000
3481703519.522786;0.005000
3481703519.531786;0.001000
3481703519.540787;0.000000
3481703519.553788;0.000000
3481703519.562788;0.003000
3481703519.571788;0.004000
3481703519.580789;0.000000
3481703519.590790;0.001000
3481703519.600790;0.002000
3481703519.610791;0.002000
3481703519.620791;0.000000
3481703519.630792;0.001000
3481703519.647793;0.001000
3481703519.656794;0.000000
3481703519.665794;0.003000
3481703519.674794;0.000000
3481703519.683795;0.002000
3481703519.692795;0.000000
3481703519.700796;0.001000
3481703519.713797;0.003000
3481703519.722797;0.001000
3481703519.732798;0.000000
3481703519.743798;0.003000
3481703519.754799;0.002000
3481703519.763800;0.001000
3481703519.773800;0.005000
3481703519.782801;0.001000
3481703519.791801;0.003000
3481703519.802802;0.000000
3481703519.811802;0.000000
3481703519.820803;0.007000
3481703519.829803;0.004000
3481703519.839804;0.000000
3481703519.849804;0.007000
3481703519.859805;0.001000
3481703519.869806;0.000000
3481703519.883806;0.002000
3481703519.893807;0.000000
3481703519.903808;0.006000
3481703519.912808;0.003000
3481703519.921809;0.006000
3481703519.931809;0.004000
3481703519.941810;0.002000
3481703519.950810;0.000000
3481703519.960811;0.001000
3481703519.973812;0.001000
3481703519.982812;0.000000
3481703519.991813;0.008000
3481703520.000813;0.000000
