t / s;I / A
12.159000;0.002265
12.197000;0.001470
12.235000;0.001470
12.273000;0.002265
12.311000;0.001470
12.349000;0.001470
12.387000;0.003060
12.426000;0.003840
12.464000;0.003060
12.502000;0.003060
12.540000;0.004635
12.578000;0.003060
12.616000;0.002265
12.654000;0.003060
12.692000;0.002265
12.730000;0.001470
12.768000;0.002265
12.806000;0.003060
12.844000;0.001470
12.882000;0.002265
12.920000;0.003060
12.958000;0.003060
12.996000;0.002265
13.034000;0.001470
13.073000;0.001470
13.111000;0.000675
13.149000;0.001470
13.187000;0.001470
13.225000;0.002265
13.263000;0.001470
13.301000;0.001470
13.339000;0.002265
13.377000;0.003060
13.415000;0.002265
13.453000;0.002265
13.491000;0.003060
13.529000;0.002265
13.567000;0.001470
13.605000;0.003060
13.643000;0.003060
13.681000;0.003060
13.720000;0.003060
13.758000;0.003840
13.796000;0.002265
13.834000;0.002265
13.872000;0.002265
13.910000;0.002265
13.948000;0.003060
13.986000;0.003060
14.024000;0.003060
14.062000;0.000675
14.100000;0.002265
14.138000;0.002265
14.176000;0.001470
14.214000;0.002265
14.252000;0.003840
14.290000;0.003060
14.328000;0.002265
14.366000;0.003060
14.404000;0.007020
14.443000;1.732421
14.481000;9.873013
14.519000;10.692928
14.557000;10.191466
14.595000;9.866668
14.633000;9.708229
14.671000;9.639306
14.709000;9.644856
14.747000;9.662285
14.785000;9.676550
14.823000;9.648021
14.861000;9.627427
14.899000;9.640896
14.937000;9.653571
14.975000;9.650406
15.014000;9.655941
15.052000;9.678125
15.090000;9.706639
15.128000;9.741497
15.166000;9.772396
15.204000;9.809625
15.242000;9.845279
15.280000;9.875383
15.318000;9.907856
15.356000;9.940345
15.394000;9.961734
15.433000;9.979959
15.471000;9.987878
15.509000;9.984714
15.547000;9.983124
15.585000;9.979959
15.623000;9.979164
15.661000;9.976779
15.699000;9.976779
15.737000;9.978369
15.775000;9.979164
15.813000;9.979164
15.851000;9.979959
15.889000;9.979164
15.927000;9.977574
15.965000;9.978369
16.003000;9.979164
16.041000;9.979959
16.079000;9.979959
16.118000;9.978369
16.156000;9.977574
16.194000;9.978369
16.232000;9.978369
16.270000;9.978369
16.308000;9.978369
16.346000;9.977574
16.384000;9.978369
16.422000;9.979959
16.460000;9.979959
16.498000;9.979164
16.536000;9.979164
16.574000;9.978369
16.612000;9.979164
16.650000;9.978369
16.688000;9.979959
16.727000;9.979959
16.765000;9.979164
16.803000;9.980739
16.841000;9.979959
16.879000;9.979164
16.917000;9.979959
16.955000;9.979164
16.993000;9.979959
17.031000;9.979164
17.069000;9.979164
17.107000;9.978369
17.145000;9.979164
17.183000;9.978369
17.221000;9.979164
17.259000;9.979164
17.297000;9.980739
17.335000;9.979164
17.373000;9.978369
17.411000;9.978369
17.449000;9.979164
17.488000;9.975999
17.526000;9.979959
17.564000;9.981534
17.602000;9.978369
17.640000;9.979959
17.678000;9.980739
17.716000;9.978369
17.754000;9.979959
17.792000;9.978369
17.830000;9.979959
17.868000;9.979164
17.906000;9.979164
17.944000;9.978369
17.982000;9.979959
18.020000;9.979164
18.058000;9.978369
18.096000;9.979164
18.135000;9.979164
18.173000;9.979164
18.211000;9.981534
18.249000;9.979164
18.287000;9.978369
18.325000;9.979164
18.363000;9.980739
18.401000;9.979164
18.439000;9.979164
18.477000;9.979959
18.516000;9.978369
18.554000;9.978369
18.592000;9.980739
18.630000;9.979959
18.668000;9.979164
18.706000;9.979959
18.744000;9.979959
18.782000;9.978369
18.820000;9.977574
18.858000;9.978369
18.896000;9.977574
18.934000;9.977574
18.972000;9.978369
19.010000;9.978369
19.048000;9.977574
19.086000;9.978369
19.124000;9.976779
19.162000;9.979164
19.201000;9.979164
19.239000;9.979959
19.277000;9.978369
19.315000;9.979959
19.353000;9.979959
19.391000;9.979959
19.429000;7.328476
19.467000;9.956410
19.505000;10.054641
19.543000;10.056231
19.581000;10.045146
19.619000;10.026127
19.657000;10.005533
19.697000;9.990473
19.735000;9.983349
19.773000;9.980979
19.812000;9.982554
19.850000;9.986513
19.888000;9.987308
19.926000;9.988103
19.964000;9.987308
20.002000;9.986513
20.040000;9.987308
20.078000;9.985734
20.116000;9.985734
20.154000;9.986513
20.192000;9.986513
20.230000;9.984939
20.268000;9.986513
20.307000;9.988898
20.345000;9.987308
20.383000;9.986513
20.421000;9.986513
20.459000;9.987308
20.497000;9.988103
20.535000;9.986513
20.573000;9.988103
20.611000;9.986513
20.649000;9.984144
20.687000;9.988103
20.725000;9.988103
20.764000;9.986513
20.802000;9.987308
20.840000;9.985734
20.878000;9.986513
20.916000;9.988898
20.954000;9.986513
20.992000;9.984939
21.030000;9.988103
21.068000;9.986513
21.106000;9.988898
21.144000;9.986513
21.182000;9.986513
21.220000;9.988103
21.258000;9.986513
21.296000;9.985734
21.334000;9.987308
21.372000;9.988103
21.411000;9.985734
21.449000;9.986513
21.487000;9.985734
21.525000;9.986513
21.564000;9.988103
21.602000;9.986513
21.640000;9.986513
21.678000;9.986513
21.716000;9.988103
21.754000;9.986513
21.792000;9.984939
21.830000;9.984144
21.868000;9.984939
21.907000;9.986513
21.945000;9.987308
21.984000;9.988103
22.022000;9.986513
22.060000;9.987308
22.098000;9.988898
22.136000;9.988103
22.174000;9.987308
22.212000;9.988103
22.250000;9.987308
22.288000;9.987308
22.326000;9.986513
22.364000;9.989693
22.402000;9.988103
22.440000;9.988898
22.478000;9.991268
22.516000;9.987308
22.555000;9.988103
22.593000;9.988898
22.631000;9.988103
22.669000;9.986513
22.707000;9.986513
22.745000;9.984939
22.783000;9.986513
22.821000;9.986513
22.859000;9.986513
22.897000;9.987308
22.935000;9.984939
22.973000;9.984939
23.011000;9.987308
23.049000;9.987308
23.087000;9.986513
23.125000;9.988103
23.164000;9.985734
23.202000;9.985734
23.240000;9.988103
23.278000;9.986513
23.316000;9.985734
23.354000;9.986513
23.392000;9.986513
23.430000;9.987308
23.468000;9.985734
23.507000;9.984144
23.545000;9.986513
23.583000;9.986513
23.621000;9.987308
23.659000;9.987308
23.697000;9.986513
23.735000;9.987308
23.773000;9.987308
23.812000;9.988103
23.850000;9.990473
23.888000;9.988103
23.926000;9.988898
23.964000;9.988103
24.002000;9.987308
24.040000;9.988898
24.078000;9.988103
24.116000;9.986513
24.154000;9.986513
24.192000;9.986513
24.230000;9.986513
24.268000;9.988103
24.307000;9.988898
24.345000;9.987308
24.383000;9.988103
24.421000;9.987308
24.459000;9.987308
24.497000;9.945325
24.535000;16.287407
24.573000;20.252347
24.611000;20.123216
24.649000;20.065379
24.687000;20.030520
24.725000;20.002006
24.764000;19.973492
24.802000;19.959227
24.840000;19.954473
24.878000;19.956063
24.916000;19.957638
24.954000;19.960022
24.992000;19.962392
25.030000;19.963982
25.068000;19.964777
25.106000;19.963187
25.144000;19.962392
25.182000;19.964777
25.220000;19.963187
25.258000;19.962392
25.296000;19.963187
25.334000;19.960817
25.372000;19.962392
25.411000;19.960817
25.449000;19.963187
25.487000;19.962392
25.525000;19.961597
25.563000;19.961597
25.601000;19.961597
25.639000;19.962392
25.677000;19.963982
25.716000;19.963982
25.754000;19.962392
25.792000;19.963982
25.830000;19.962392
25.868000;19.962392
25.906000;19.963982
25.944000;19.963187
25.982000;19.962392
26.020000;19.960817
26.058000;19.961597
26.096000;19.961597
26.134000;19.960022
26.172000;19.960817
26.210000;19.961597
26.248000;19.963187
26.286000;19.963187
26.325000;19.962392
26.363000;19.962392
26.401000;19.963187
26.439000;19.962392
26.477000;19.962392
26.515000;19.960022
26.554000;19.961597
26.592000;19.961597
26.630000;19.965572
26.668000;19.963982
26.706000;19.961597
26.744000;19.962392
